,Country,Total.Library.Size,g2020,g2021,g2022,g2023,Cost,Educ_index,Freedom_index,p2020,p2021,p2022,p2023,Immi_perc,Subregion,penetration rate ,u2020,u2021,u2022,u2023,m2020,m2021,m2022,m2023
68,Philippines,7703,362000000000.0,394000000000.0,404000000000.0,437000000000.0,7.19,0.678,134.0,112190977.0,113880328.0,115559009.0,117337368.0,0.21,South-eastern Asia,0.641,5.23,5.73,5.73,6.03,78.8,100.7,113.6,130.7
69,Poland,7408,599000000000.0,681000000000.0,690000000000.0,811000000000.0,10.68,0.869,47.0,37899070.0,37747124.0,36821749.0,36685849.0,2.16,Eastern Europe,0.933,31.42,35.16,33.48,39.13,581.1,710.4,715.6,865.0
70,Portugal,7789,229000000000.0,256000000000.0,255000000000.0,287000000000.0,12.92,0.768,7.0,10297081.0,10361831.0,10409704.0,10525347.0,9.83,Southern Europe,0.849,10.12,10.6,9.38,10.25,54.29,62.48,59.06,67.52
71,Qatar,6479,144000000000.0,180000000000.0,236000000000.0,,9.99,0.659,84.0,2760385.0,2688235.0,2695122.0,2716391.0,77.27,Western Asia,0.942,13.59,14.6,14.48,15.09,25.89,32.93,37.63,44.11
72,Romania,7930,251000000000.0,286000000000.0,299000000000.0,351000000000.0,10.76,0.765,49.0,19265250.0,19122059.0,19047009.0,19056116.0,3.67,Eastern Europe,0.649,7.08,7.64,6.95,7.74,44.4,53.42,52.29,61.12
73,San Marino,6124,1541247884.0,1855382833.0,,,14.0,,,34007.0,33745.0,33660.0,33642.0,16.34,Southern Europe,0.596,12.7725,14.61375,14.0525,16.4225,173.89375,239.78,264.70124999999996,340.7075
74,Saudi Arabia,6537,734000000000.0,874000000000.0,1110000000000.0,1070000000000.0,11.47,0.789,166.0,35997107.0,35950396.0,36408820.0,36947025.0,38.65,Western Asia,0.969,8.31,9.15,9.34,10.03,105.9,132.5,149.2,172.8
75,Senegal,2425,24530513038.0,27520784130.0,27619479060.0,31013986429.0,7.99,0.345,94.0,16436120.0,16876720.0,17316449.0,17763163.0,1.64,Western Africa,0.278,4.94,6.47,7.46,8.63,5.64,9.28,12.95,17.55
76,Serbia,6802,53356484591.0,63101042898.0,63563410721.0,75187125427.0,8.61,0.783,98.0,6899126.0,6834326.0,6664449.0,6618026.0,9.42,Southern Europe,0.847,11.85,12.77,11.64,13.03,19.77,24.36,24.7,30.01
77,Seychelles,1661,1382551752.0,1487173795.0,2057968520.0,2141450171.0,7.99,0.726,37.0,98462.0,99258.0,119878.0,119773.0,13.27,Eastern Africa,0.523,6.26,6.45,6.12,6.11,0.19,0.22,0.23,0.25
78,Singapore,7450,349000000000.0,434000000000.0,498000000000.0,501000000000.0,13.02,0.924,126.0,5685807.0,5453566.0,5637022.0,5917648.0,43.14,South-eastern Asia,0.811,21.48,24.72,26.25,29.2,72.37,91.62,104.7,123.0
79,Slovenia,8298,53734526854.0,61832201544.0,60063475466.0,68216781411.0,8.61,0.91,42.0,2102419.0,2108079.0,2111986.0,2120937.0,13.37,Southern Europe,0.774,12.72,14.32,13.57,15.68,11.19,14.02,14.35,17.51
80,South Africa,6634,338000000000.0,420000000000.0,405000000000.0,378000000000.0,8.41,0.724,38.0,58801927.0,59392255.0,59893885.0,60414495.0,4.82,Southern Africa,0.536,9.78,10.99,11.41,12.39,137.2,170.5,191.3,220.2
81,Spain,7831,1280000000000.0,1450000000000.0,1420000000000.0,1580000000000.0,14.0,0.831,30.0,47365655.0,47415794.0,47778340.0,48373336.0,14.63,Southern Europe,0.893,17.91,23.36,24.8,30.92,623.3,880.8,988.8,1280.0
82,Sweden,7559,547000000000.0,640000000000.0,590000000000.0,593000000000.0,12.32,0.918,3.0,10353442.0,10415811.0,10486941.0,10536632.0,19.84,Northern Europe,0.956,35.97,39.31,35.65,42.15,411.3,485.0,462.9,566.0
83,Switzerland,7541,742000000000.0,813000000000.0,818000000000.0,885000000000.0,21.48,0.9,9.0,8638167.0,8704546.0,8775760.0,8849852.0,28.79,Western Europe,0.914,32.13,36.31,34.79,40.82,285.5,349.3,353.4,430.1
84,Tanzania,4653,66068737786.0,70655628148.0,75769974505.0,79158286334.0,7.99,,97.0,61704518.0,63588334.0,65497748.0,67438106.0,0.71,Eastern Africa,0.52,5.06,6.81,7.93,9.11,17.31,27.84,37.75,49.19
85,Thailand,7537,500000000000.0,506000000000.0,496000000000.0,515000000000.0,9.9,0.682,87.0,71475664.0,71601103.0,71697030.0,71801279.0,5.2,South-eastern Asia,0.755,6.13,6.79,6.91,7.32,115.4,146.2,165.3,190.0
86,Tunisia,6696,42491816476.0,46812290143.0,44579761023.0,48529595417.0,7.99,0.661,118.0,12161723.0,12262946.0,12356117.0,12458223.0,0.51,Northern Africa,0.646,8.55,9.28,8.98,9.77,11.98,15.41,17.19,21.02
87,Uganda,1495,37600368240.0,40529788744.0,45565333216.0,49272882214.0,7.99,0.523,128.0,44404611.0,45853778.0,47249585.0,48582334.0,3.76,Eastern Africa,0.222,5.79,7.77,9.03,10.45,15.91,28.54,41.89,58.0
88,Ukraine,6040,157000000000.0,200000000000.0,162000000000.0,179000000000.0,8.07,0.799,61.0,44207754.0,43848986.0,38000000.0,37000000.0,11.43,Eastern Europe,0.656,9.94,10.84,1.8,6.25,113.0,136.2,24.28,88.19
89,United Arab Emirates,6557,349000000000.0,415000000000.0,507000000000.0,504000000000.0,10.62,0.802,160.0,9287289.0,9365145.0,9441129.0,9516871.0,88.13,Western Asia,0.952,16.61,18.1,18.34,19.57,122.7,140.0,145.2,157.1
90,United Kingdom,8038,2700000000000.0,3140000000000.0,3090000000000.0,3340000000000.0,13.79,0.948,23.0,67081234.0,67026292.0,67791000.0,68350000.0,13.79,Northern Europe,0.966,32.0,36.65,35.41,41.9,2351.0,2985.0,3113.0,3892.0
91,United States,6863,21300000000000.0,23600000000000.0,25700000000000.0,27400000000000.0,15.49,0.9,55.0,331526933.0,332048977.0,333271411.0,334914895.0,15.28,Northern America,0.924,41.27,44.38,44.01,46.72,25890.0,31180.0,34100.0,39250.0
92,Uruguay,6666,53668636568.0,60760798596.0,70164683290.0,77240831587.0,12.99,0.765,51.0,3429086.0,3426260.0,3422794.0,3423108.0,3.12,South America,0.849,8.3,8.69,8.34,8.43,10.12,11.88,12.45,13.45
93,Zambia,1702,18137764931.0,22096416932.0,29163782140.0,28162630954.0,7.99,0.557,95.0,18927715.0,19473125.0,20017675.0,20569737.0,1.02,Eastern Africa,0.244,5.17,6.74,7.75,8.95,5.8,9.03,12.06,15.83
